               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11652,            0.036483,            0.058133,            0.001443,             0.23333,           0.0010963,          0.00021264,            0.091446,            0.029065,            0.055598,              0.0013,              0.0013,              0.0883
                   1,            0.087228,            0.033136,            0.051565,           0.0067624,             0.38095,            0.007986,           0.0021519,            0.067578,            0.028453,            0.049121,           0.0026109,           0.0026109,            0.075611
                   2,            0.073134,            0.032316,            0.047541,             0.20842,             0.34762,             0.22722,            0.097548,            0.081767,            0.020314,            0.046555,           0.0038294,           0.0038294,            0.062829
                   3,            0.078997,            0.027766,            0.044242,             0.89947,             0.11323,               0.104,            0.040187,             0.09784,            0.016338,            0.041974,           0.0049555,           0.0049555,            0.049955
                   4,            0.076851,            0.025262,            0.042131,            0.067655,             0.46667,            0.048398,            0.010895,            0.086953,            0.018039,            0.042194,           0.0059892,           0.0059892,            0.036989
                   5,            0.075854,             0.02233,            0.039801,              0.1602,             0.66667,             0.37248,                0.11,            0.064067,            0.018196,            0.038871,           0.0069305,           0.0069305,             0.02393
                   6,            0.073113,            0.021746,            0.037128,             0.14054,             0.44286,             0.21756,             0.04307,             0.07948,             0.01533,            0.035267,           0.0077794,           0.0077794,            0.010779
                   7,            0.067527,            0.023276,            0.034962,             0.56788,             0.53333,             0.47552,             0.19754,            0.060953,            0.016709,            0.036471,             0.00769,             0.00769,             0.00769
                   8,            0.062764,            0.019784,            0.034114,             0.26966,              0.5619,             0.28244,            0.079339,            0.078254,            0.014899,            0.033314,             0.00769,             0.00769,             0.00769
                   9,            0.059711,            0.018109,            0.031634,             0.46724,             0.57281,             0.44967,             0.12163,            0.051652,            0.014434,            0.031493,             0.00736,             0.00736,             0.00736
                  10,            0.050895,            0.018798,            0.029173,              0.4649,              0.6219,             0.39181,              0.1152,            0.064821,            0.016541,            0.029436,             0.00703,             0.00703,             0.00703
                  11,            0.050959,            0.015269,            0.027778,              0.8638,             0.60319,             0.84183,             0.36691,            0.046572,            0.012282,            0.026333,              0.0067,              0.0067,              0.0067
                  12,            0.049577,            0.014373,            0.025854,             0.82336,             0.56853,               0.757,             0.44373,            0.043776,            0.010787,            0.024238,             0.00637,             0.00637,             0.00637
                  13,            0.043951,            0.015699,            0.025131,             0.82839,             0.64271,             0.84048,             0.46799,            0.042019,             0.01025,            0.022663,             0.00604,             0.00604,             0.00604
                  14,            0.046168,             0.01384,            0.024617,             0.61982,             0.82844,             0.87016,             0.50879,            0.041243,           0.0098496,            0.020775,             0.00571,             0.00571,             0.00571
                  15,            0.042957,            0.014126,            0.022533,             0.64185,             0.91263,             0.93542,             0.40277,            0.038273,           0.0091559,            0.019879,             0.00538,             0.00538,             0.00538
                  16,             0.04208,            0.012524,            0.020416,             0.82863,             0.88595,             0.94983,             0.54404,            0.041145,           0.0085427,            0.018897,             0.00505,             0.00505,             0.00505
                  17,            0.036718,            0.011886,            0.019958,              0.8342,             0.95197,             0.96146,             0.55441,            0.029196,           0.0079705,            0.018057,             0.00472,             0.00472,             0.00472
                  18,            0.039523,            0.012356,            0.018395,             0.81679,             0.89511,             0.94209,             0.44401,            0.038778,           0.0078863,            0.017942,             0.00439,             0.00439,             0.00439
                  19,            0.032667,            0.011849,            0.016913,             0.93727,             0.90719,             0.97508,              0.6781,            0.026121,           0.0073303,            0.016989,             0.00406,             0.00406,             0.00406
                  20,            0.032824,            0.011265,            0.017415,             0.91671,             0.95309,             0.97858,             0.60412,             0.02804,           0.0071346,            0.016035,             0.00373,             0.00373,             0.00373
                  21,            0.029689,            0.011685,            0.016615,             0.96326,             0.94286,             0.97933,             0.74497,            0.022734,           0.0067761,            0.015036,              0.0034,              0.0034,              0.0034
                  22,            0.030016,            0.012149,            0.015353,             0.97099,             0.94281,             0.98478,             0.68499,            0.024454,           0.0067196,            0.014439,             0.00307,             0.00307,             0.00307
                  23,             0.02815,            0.009895,            0.014716,             0.96764,             0.94258,             0.97933,             0.73426,            0.020781,           0.0063342,            0.013565,             0.00274,             0.00274,             0.00274
                  24,            0.025037,            0.010863,            0.013734,             0.94602,             0.94286,               0.988,             0.73893,            0.022043,           0.0064397,            0.012934,             0.00241,             0.00241,             0.00241
                  25,            0.021931,            0.010053,            0.013691,             0.97427,             0.94467,              0.9915,             0.79314,            0.018312,           0.0061071,            0.012318,             0.00208,             0.00208,             0.00208
                  26,            0.022138,            0.010711,            0.013284,             0.97114,             0.94288,              0.9915,             0.66179,            0.022247,           0.0063129,            0.012073,             0.00175,             0.00175,             0.00175
                  27,            0.020115,             0.01019,            0.012551,             0.95953,             0.94288,              0.9866,             0.82625,             0.01625,           0.0059299,            0.011612,             0.00142,             0.00142,             0.00142
                  28,             0.01967,           0.0091422,            0.013257,             0.95921,             0.94291,              0.9915,             0.82045,            0.015621,           0.0058289,            0.011365,             0.00109,             0.00109,             0.00109
                  29,            0.017753,           0.0089889,            0.011155,             0.96516,             0.94303,               0.995,             0.83014,            0.015393,           0.0057124,            0.011003,             0.00076,             0.00076,             0.00076
