               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.032069,           0.0097256,           0.0051186,             0.90688,                   1,               0.995,             0.62458,            0.029121,           0.0063958,           0.0039995,            0.006535,            0.006535,            0.006535
                  37,            0.029561,           0.0092344,           0.0051728,             0.99123,             0.99939,               0.995,             0.69743,            0.022855,            0.006253,            0.003615,            0.006436,            0.006436,            0.006436
                  38,            0.032291,            0.010293,           0.0050384,             0.86105,                   1,               0.995,             0.73853,            0.026191,           0.0064524,           0.0035267,            0.006337,            0.006337,            0.006337
                  39,            0.029677,             0.01033,            0.004686,             0.96651,                   1,               0.995,             0.75013,            0.019716,           0.0061046,           0.0037149,            0.006238,            0.006238,            0.006238
                  40,            0.025568,             0.00909,           0.0047391,             0.99504,                   1,               0.995,             0.70265,            0.025266,           0.0061043,           0.0034746,            0.006139,            0.006139,            0.006139
                  41,            0.025125,           0.0091367,           0.0044413,             0.97124,                   1,               0.995,               0.748,            0.022913,           0.0056799,           0.0030192,             0.00604,             0.00604,             0.00604
                  42,            0.027993,           0.0090798,           0.0038449,             0.99124,             0.99991,               0.995,             0.64068,            0.027386,           0.0061001,           0.0029948,            0.005941,            0.005941,            0.005941
                  43,            0.027956,           0.0089123,           0.0038934,             0.98351,                   1,               0.995,             0.81611,            0.018833,           0.0056029,           0.0030116,            0.005842,            0.005842,            0.005842
                  44,            0.026851,           0.0083334,           0.0041231,             0.96689,             0.99598,               0.995,             0.77276,             0.01896,           0.0057825,           0.0031003,            0.005743,            0.005743,            0.005743
                  45,            0.022857,            0.010158,            0.004569,             0.98751,                   1,               0.995,             0.80849,            0.018617,           0.0055215,           0.0028796,            0.005644,            0.005644,            0.005644
                  46,            0.025982,           0.0088215,           0.0038587,             0.96575,                   1,               0.995,             0.70733,            0.020897,           0.0057516,            0.002735,            0.005545,            0.005545,            0.005545
                  47,            0.023427,           0.0092886,           0.0036077,             0.99653,                   1,               0.995,             0.79666,            0.019904,           0.0055883,           0.0027392,            0.005446,            0.005446,            0.005446
                  48,              0.0249,           0.0083669,           0.0039303,             0.97464,                   1,               0.995,             0.79147,            0.020193,           0.0054327,           0.0028062,            0.005347,            0.005347,            0.005347
                  49,            0.021615,           0.0082813,           0.0044316,             0.98516,                   1,               0.995,             0.83013,            0.016302,           0.0053473,           0.0027518,            0.005248,            0.005248,            0.005248
                  50,            0.023861,           0.0093384,           0.0034462,             0.99317,             0.99982,               0.995,             0.78984,             0.02151,           0.0056939,           0.0024941,            0.005149,            0.005149,            0.005149
                  51,            0.023607,           0.0081112,           0.0031851,             0.99671,                   1,               0.995,             0.81706,            0.016513,           0.0055637,           0.0024795,             0.00505,             0.00505,             0.00505
                  52,            0.022091,           0.0091006,           0.0035022,             0.98101,             0.99993,               0.995,             0.68702,            0.022823,            0.005533,           0.0023546,            0.004951,            0.004951,            0.004951
                  53,            0.022726,           0.0076955,           0.0037619,             0.99469,                   1,               0.995,             0.85916,            0.014579,           0.0050336,           0.0023665,            0.004852,            0.004852,            0.004852
                  54,            0.018888,           0.0078861,           0.0032312,             0.99375,                   1,               0.995,             0.85418,             0.01617,           0.0050491,           0.0021953,            0.004753,            0.004753,            0.004753
                  55,            0.018644,           0.0078453,           0.0029564,             0.98928,                   1,               0.995,             0.85879,            0.014187,           0.0049694,           0.0020637,            0.004654,            0.004654,            0.004654
                  56,             0.01932,           0.0071714,           0.0035608,             0.99128,                   1,               0.995,             0.84072,            0.016576,           0.0050086,           0.0020835,            0.004555,            0.004555,            0.004555
                  57,            0.018993,           0.0080683,           0.0028752,             0.98804,                   1,               0.995,             0.83611,            0.017064,           0.0050133,           0.0020934,            0.004456,            0.004456,            0.004456
                  58,            0.021879,           0.0085761,           0.0027691,             0.99579,                   1,               0.995,             0.76182,            0.020024,           0.0051788,           0.0020254,            0.004357,            0.004357,            0.004357
                  59,            0.018716,           0.0079368,           0.0024245,             0.98894,                   1,               0.995,             0.82309,            0.015164,           0.0049456,            0.002035,            0.004258,            0.004258,            0.004258
                  60,            0.019663,            0.008437,           0.0028077,             0.98786,                   1,               0.995,             0.81903,            0.015589,           0.0050886,           0.0020268,            0.004159,            0.004159,            0.004159
                  61,              0.0188,           0.0084065,           0.0028825,              0.9951,                   1,               0.995,             0.84555,             0.01395,           0.0048384,           0.0019851,             0.00406,             0.00406,             0.00406
                  62,            0.019833,           0.0077297,            0.002237,             0.99249,             0.99993,               0.995,             0.75083,            0.018111,           0.0052197,           0.0019058,            0.003961,            0.003961,            0.003961
                  63,            0.019284,           0.0086231,           0.0025541,             0.99453,                   1,               0.995,             0.81326,            0.014281,           0.0048337,           0.0018731,            0.003862,            0.003862,            0.003862
                  64,            0.021534,           0.0081251,           0.0024601,             0.99239,                   1,               0.995,             0.80665,            0.015511,           0.0049679,           0.0018806,            0.003763,            0.003763,            0.003763
                  65,             0.01849,           0.0080975,           0.0021835,             0.99665,                   1,               0.995,             0.84223,            0.013982,           0.0047767,            0.001791,            0.003664,            0.003664,            0.003664
